46,"['8dd0e7', '91959c', 'c13872', 'cad1dc', 'e7b499', 'f9efeb']","[0.5928, 0.624, 0.7644, 0.3276, 0.4992, 0.312, 0.4992, 0.2184, 0.4056, 0.3588]"
47,"['8b8a9d', '8dd1e9', 'c43471', 'c6cfdc', 'e6b593', 'f9efeb']","[0.4368, 0.2184, 0.4524, 0.5772, 0.5772, 0.468, 0.3276, 0.2652, 0.3588, 0.4056]"
48,"['858795', '8cd0e8', 'c6d2de', 'ca3473', 'ebb79b', 'f9efeb']","[0.3744, 0.4524, 0.312, 0.6552, 1.2012, 0.3432, 0.7176, 0.2964, 0.3432, 0.3276]"
49,"['868d9a', '8ccfe7', 'c23872', 'c9d1dd', 'e8b694', 'f8efeb']","[0.7488, 0.3588, 0.4368, 0.3588, 0.3744, 0.6708, 0.312, 0.3588, 0.7956, 0.312]"
50,"['8a929b', '8dd0e8', 'c33972', 'c5d0dc', 'e7b499', 'f9efeb']","[0.4992, 0.2808, 0.2964, 0.2964, 0.5304, 0.5772, 0.4992, 0.2496, 0.4212, 0.4524]"
51,"['848a97', '8fd2e9', 'c23772', 'c4c0cc', 'e7b38f', 'f7eeeb']","[0.6864, 0.6396, 0.5304, 0.5148, 0.2652, 0.8424, 0.7176, 0.4368, 0.4212, 0.6708]"
52,"['818598', '8dd0e7', 'c53771', 'c9d1dc', 'e2b594', 'f9efeb']","[1.3728, 0.6552, 0.5928, 0.9672, 0.4056, 0.4524, 0.4836, 0.4992, 0.3588, 0.4524]"
53,"['83889c', '90d1e8', 'c43772', 'ceccd4', 'e3b38c', 'f8efec']","[0.6708, 0.3276, 0.624, 0.4836, 0.7332, 0.3588, 0.4992, 0.6084, 0.5148, 0.5772]"
54,"['74385b', '8d909d', '93d0e7', 'd53879', 'e4b9a1', 'f5edeb']","[0.7644, 0.5928, 1.2636, 0.312, 0.4056, 0.5928, 0.4368, 0.936, 0.3588, 0.4992]"
55,"['8ecfe6', '9e9695', 'c13672', 'd1dbe7', 'fae0d3', 'fafbfc']","[0.468, 0.3744, 0.2808, 0.312, 0.4836, 0.702, 0.468, 0.3744, 0.468, 0.4212]"
56,"['83889b', '90d1e8', 'c53773', 'cbc5cd', 'e2af88', 'f7eeeb']","[0.8736, 0.5304, 1.014, 0.4368, 0.4056, 0.4368, 0.5772, 0.5304, 0.2964, 0.9672]"
57,"['773f60', '92949a', '93cfe6', 'd63779', 'e2bba9', 'f6edeb']","[0.2964, 0.4056, 0.4992, 1.4664, 0.8112, 0.8892, 0.4524, 0.5928, 0.4524, 0.7488]"
58,"['808384', '90d2e9', 'adb2c6', 'c73674', 'e7b69a', 'f6edeb']","[1.2948, 0.4836, 2.4025, 0.4212, 0.6396, 0.8424, 0.5772, 0.8424, 0.4212, 0.9516]"
59,"['8a8f9a', '93d0e7', 'c33872', 'deb6a1', 'f3f7fb', 'f7e5de']","[0.2652, 0.3276, 0.468, 0.624, 0.4836, 1.9812, 0.624, 0.5304, 0.3588, 0.4368]"
60,"['848c9a', '8dd0e8', 'c63874', 'c6d0dd', 'e6b594', 'f9efeb']","[0.3276, 0.6084, 0.7176, 0.6084, 0.7176, 0.9828, 1.2012, 0.4524, 0.7176, 0.7956]"
61,"['808591', '90d2e9', 'c1becc', 'c83674', 'e2b38e', 'f7eeeb']","[0.4524, 0.7644, 0.6864, 0.468, 0.39, 0.6396, 0.7488, 1.4196, 1.482, 0.6396]"
62,"['8a8f9d', '8dd0e8', 'c13772', 'c8d1dc', 'e4b695', 'f9efeb']","[1.248, 0.9516, 1.1856, 1.482, 1.7316, 0.8892, 1.1856, 0.4212, 0.5928, 0.7176]"
63,"['794264', '898ea1', '95cfe5', 'd5397a', 'e1b69b', 'f5edeb']","[0.702, 0.8268, 0.468, 1.5288, 0.3588, 1.7628, 0.4836, 0.702, 1.2948, 0.5304]"
64,"['803f61', '8b929e', '94cfe6', 'd7387a', 'e5baa2', 'f5edeb']","[0.6084, 1.7628, 0.7488, 0.5304, 0.858, 0.5616, 0.7332, 0.3744, 1.716, 1.0296]"
65,"['8dc8e1', 'a94b78', 'c4d2df', 'dcb38d', 'f7f9fb', 'fae6dd']","[0.936, 0.6864, 0.9984, 0.7488, 0.6084, 0.936, 0.4368, 0.5616, 0.936, 0.9984]"
66,"['858b96', '8dd0e8', 'c33572', 'c6ceda', 'e6b497', 'f8efec']","[0.5304, 1.0296, 0.702, 0.8424, 0.9048, 0.7488, 0.39, 0.7176, 1.092, 0.39]"
67,"['808696', '90d2e9', 'c63773', 'c6c1cc', 'e6b491', 'f7eeeb']","[1.0452, 0.5304, 0.5304, 0.468, 1.0764, 1.5288, 0.7332, 0.5304, 0.858, 1.2636]"
