108,"[16.5352, 15.3477, 16.5088, 8.8076, 9.9277, 16.4307, 16.0156, 10.4248, 16.4072, 2.7334]"
109,"[11.5889, 9.3965, 12.2939, 14.9248, 13.3271, 14.8652, 3.8457, 19.832, 8.8867, 5.5156]"
110,"[6.1934, 11.2969, 20.5762, 22.1006, 26.2432, 16.4688, 19.832, 11.8906, 3.374, 21.5176]"
111,"[6.373, 11.4922, 4.5996, 9.7568, 10.9209, 6.3398, 8.0342, 8.0332, 8.6074, 6.8789]"
112,"[13.5312, 14.166, 20.6416, 9.0078, 7.7695, 8.7871, 13.0439, 19.8828, 7.6152, 5.2861]"
113,"[11.748, 15.3154, 7.7324, 6.5986, 18.8291, 17.7666, 12.4102, 9.4609, 8.8457, 12.3818]"
114,"[14.9785, 13.7275, 6.5684, 27.5352, 11.4453, 7.7764, 8.3799, 22.7412, 7.8174, 5.9912]"
115,"[13.9629, 5.4697, 20.0869, 17.8174, 15.4004, 7.9502, 16.4434, 4.8643, 17.8174, 14.7012]"
116,"[18.0205, 3.708, 12.3545, 26.2295, 21.1094, 6.1709, 6.8184, 10.499, 21.6201, 21.8447]"
117,"[20.04, 22.4346, 31.8037, 9.3477, 10.6855, 7.5, 18.1367, 10.6367, 24.8174, 26.3271]"
118,"[14.5781, 7.6318, 13.9004, 14.0459, 18.9697, 18.4424, 12.708, 11.4033, 21.6025, 9.5488]"
119,"[25.0859, 24.4824, 6.4473, 20.0264, 16.9248, 16.8184, 16.7881, 12.2734, 12.9629, 18.9062]"
120,"[9.1729, 14.3857, 8.5039, 15.8203, 12.5596, 8.5498, 21.7568, 24.8828, 9.2568, 11.1572]"
121,"[20.4385, 10.582, 5.9541, 22.6025, 19.1885, 9.8633, 11.2832, 23.6875, 17.8486, 17.8271]"
122,"[18.0771, 4.0254, 26.3203, 19.4238, 21.4346, 10.7275, 26.1123, 10.1426, 28.9277, 6.0117]"
123,"[7.4365, 15.749, 4.7998, 7.4941, 13.709, 9.5527, 19.7295, 17.0059, 19.7305, 17.7793]"
124,"[18.0146, 20.8525, 13.1377, 8.3262, 16.6338, 11.1289, 18.7061, 9.709, 9.6934, 22.7754]"
